iter	MAE	RMSE
820	0.0454995168	0.05866859686
821	0.04539345413	0.05849647413
822	0.04528131754	0.05839814564
823	0.04523156844	0.058320328
824	0.0451657862	0.05823079974
825	0.04512949949	0.0581766909
826	0.04501518031	0.05804474783
827	0.04496613141	0.05796830076
828	0.04488543534	0.05789189413
829	0.04483683804	0.05781679074
830	0.04480109515	0.05776392466
831	0.0447217799	0.05768953622
832	0.04470196112	0.05765777712
833	0.04462394728	0.05758546877
834	0.04457918671	0.05754559882
835	0.04456765241	0.05752936346
836	0.0444797833	0.05742234756
837	0.04442313185	0.05735899556
838	0.04434656535	0.05728903509
839	0.04429874797	0.05725251163
840	0.0442232865	0.05718441596
841	0.04412382046	0.0570931127
842	0.04407715842	0.05705823843
843	0.04400302793	0.0569922429
844	0.0439558324	0.05691850689
845	0.04390639396	0.05686035288
846	0.04385287437	0.05681861847
847	0.04373247075	0.05665619498
848	0.04369813558	0.05660682623
849	0.04368013599	0.05658383368
850	0.04360757383	0.05651966311
851	0.04356581572	0.05648415604
852	0.04349951847	0.05642825542
853	0.04348194666	0.05640621022
854	0.04341072691	0.05634436265
855	0.04329689371	0.05618856967
856	0.04322979656	0.05612872184
857	0.04318359189	0.0560575038
858	0.04312725863	0.05598692162
859	0.04308203507	0.05591816011
860	0.04297621821	0.05576767266
861	0.04293168996	0.05570049171
862	0.04287329751	0.05563343891
863	0.04285528089	0.05560634764
864	0.04281653208	0.05555095628
865	0.04274929082	0.05543679404
866	0.04271096409	0.05538239184
867	0.04267057589	0.0553490857
868	0.04263086126	0.05531675894
869	0.04259290919	0.05526327867
870	0.04252123396	0.05517352219
871	0.04246798735	0.05510958366
872	0.0424616024	0.05509902075
873	0.0423931036	0.05502987621
874	0.04235548502	0.05497760679
875	0.04231827447	0.05492630359
876	0.04225802988	0.05481925727
877	0.04218884257	0.05475257525
878	0.04215301284	0.05471457973
879	0.04208928492	0.05463301787
880	0.0420218297	0.05456558002
881	0.04197903463	0.05450195948
882	0.04194250398	0.05445196343
883	0.04190849207	0.05440597237
